arch,dtype,K,V,BT,H,Hg,T_flat,N,head_seqlen,mid_seqlen,tail_seqlen,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,12000,12,1000,1000,1000,True,False,True,True,True,True,True,64,179.6948
gfx950,torch.bfloat16,128,128,64,32,16,9000,9,1000,1000,1000,True,False,True,True,True,True,True,64,153.2423
gfx950,torch.bfloat16,128,128,64,32,16,32755,33,1000,1000,755,True,False,True,True,True,True,True,64,415.9001
gfx950,torch.bfloat16,128,128,64,32,16,18245,19,245,1000,1000,True,False,True,True,True,True,True,64,260.6670
gfx950,torch.bfloat16,128,128,64,32,16,32000,32,1000,1000,1000,True,False,True,True,True,True,True,64,392.5489
gfx950,torch.bfloat16,128,128,64,32,16,18000,18,1000,1000,1000,True,False,True,True,True,True,True,64,258.8926
gfx950,torch.bfloat16,128,128,64,32,16,6000,6,1000,1000,1000,True,False,True,True,True,True,True,64,95.8217
gfx950,torch.bfloat16,128,128,64,32,16,21000,21,1000,1000,1000,True,False,True,True,True,True,True,64,275.9392
gfx950,torch.bfloat16,128,128,64,32,16,32761,4,4469,10000,8292,True,False,True,True,True,True,True,64,546.9289
gfx950,torch.bfloat16,128,128,64,32,16,32758,5,1708,10000,1050,True,False,True,True,True,True,True,64,550.5882
gfx950,torch.bfloat16,128,128,64,32,16,32766,4,10000,10000,2766,True,False,True,True,True,True,True,64,548.7713
gfx950,torch.bfloat16,128,128,64,32,16,32763,4,7234,10000,5529,True,False,True,True,True,True,True,64,546.3312
gfx950,torch.bfloat16,128,128,64,32,16,32760,4,4471,10000,8289,True,False,True,True,True,True,True,64,546.7945
gfx950,torch.bfloat16,128,128,64,32,16,32757,5,1711,10000,1046,True,False,True,True,True,True,True,64,550.2882
gfx950,torch.bfloat16,128,128,64,32,16,32727,4,10000,10000,2727,True,False,True,True,True,True,True,64,550.5978
gfx950,torch.bfloat16,128,128,64,32,16,32736,4,10000,10000,2736,True,False,True,True,True,True,True,64,548.6058
gfx950,torch.bfloat16,128,128,64,32,16,32761,8,2233,5000,528,True,False,True,True,True,True,True,64,434.9947
gfx950,torch.bfloat16,128,128,64,32,16,9472,2,4472,0,5000,True,False,True,True,True,True,True,32,225.5210
gfx950,torch.bfloat16,128,128,64,32,16,20000,4,5000,5000,5000,True,False,True,True,True,True,True,64,288.5737
gfx950,torch.bfloat16,128,128,64,32,16,3986,1,3986,0,0,True,False,True,True,True,True,True,16,104.7771
gfx950,torch.bfloat16,128,128,64,32,16,8982,2,3982,0,5000,True,False,True,True,True,True,True,32,223.1146
